,year,country,5G,Cable Terrestrial,Commercial partnership,Data centre,Facial recognition,Investment or joint venture,Investor,Manufacturing facility,MoU-agreement,Overseas Office,R&D lab,Research partnership,Satellite calibration centre,Smart cities,Subsidiary,Surveillance equipment,Telecommunications or ICT,Training,Artificial Intelligence,Biotech,Chinese state loan,Surveillance,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2smgovfilcap,v2smgovfilcap_ord,v2smgovfilprc,v2smgovfilprc_ord,v2smgovshutcap,v2smgovshutcap_ord,v2smgovshut,v2smgovsm_ord,v2smgovsmmon,v2smgovsmmon_ord,v2smgovsmcenprc,v2smgovsmcenprc_ord,v2smarrest,v2smarrest_ord,e_fh_cl,e_fh_pr,e_fh_rol,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_autoc,e_democ,e_p_polity,e_gdp,force_count,peaceful_count,intervention_count
13,2010,BI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.144,0.225,-0.913,1.0,-0.45,2.0,-1.093,1.0,0.658,3.0,-0.675,2.0,-0.588,3.0,-1.791,1.0,5.0,5.0,4.0,-1.169,-1.128,-1.626,1.0,7.0,6.0,698.527,0.0,3.0,0.0
14,2010,BJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657,0.54,0.425,-0.271,2.0,2.159,4.0,1.701,4.0,2.004,4.0,0.754,3.0,1.792,4.0,0.942,2.0,2.0,2.0,13.0,-0.665,-0.614,0.261,0.0,7.0,7.0,2048.918,1.0,7.0,1.0
15,2010,BO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.416,0.562,-2.461,0.0,1.709,4.0,-1.097,1.0,1.246,4.0,1.536,4.0,1.593,4.0,1.056,2.0,3.0,3.0,6.0,-0.459,-0.502,-0.415,0.0,7.0,7.0,4754.712,0.0,0.0,0.0
16,2010,BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.872,0.781,0.65,-0.621,1.0,1.922,4.0,-1.815,0.0,1.638,4.0,1.465,3.0,1.511,4.0,2.463,3.0,2.0,2.0,9.0,0.044,-0.094,0.013,0.0,8.0,8.0,251742.26,0.0,0.0,0.0
17,2010,BW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.723,0.625,0.472,0.437,2.0,2.048,4.0,-0.257,3.0,0.923,4.0,1.548,4.0,1.948,4.0,1.517,3.0,2.0,3.0,12.0,1.003,0.387,0.991,0.0,8.0,8.0,2592.413,0.0,0.0,0.0
18,2010,BY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.097,0.084,1.399,3.0,0.016,3.0,1.329,4.0,0.721,4.0,-1.044,2.0,1.581,4.0,0.616,2.0,6.0,7.0,2.0,-0.633,-1.189,-0.095,7.0,0.0,-7.0,18591.848,0.0,0.0,0.0
19,2010,CA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829,0.757,0.573,-0.107,2.0,2.061,4.0,-1.837,0.0,1.848,4.0,1.537,4.0,1.044,4.0,2.443,3.0,1.0,1.0,15.0,2.062,1.778,0.936,0.0,10.0,10.0,155074.127,0.0,0.0,0.0
20,2010,CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.196,0.164,-1.26,1.0,0.961,3.0,1.56,4.0,0.84,4.0,1.655,4.0,1.126,4.0,-2.275,0.0,5.0,5.0,3.0,-0.938,-1.398,-2.021,2.0,1.0,-1.0,484.81,2.0,1.0,1.0
21,2010,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899,0.855,0.8,-0.897,1.0,2.355,4.0,-3.084,0.0,1.769,4.0,1.994,4.0,1.959,4.0,2.405,3.0,1.0,1.0,15.0,2.064,1.871,1.259,0.0,10.0,10.0,43358.987,0.0,0.0,0.0
22,2010,CI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.304,0.288,1.398,3.0,0.768,3.0,1.527,4.0,1.641,4.0,-0.522,2.0,1.025,4.0,-0.885,1.0,6.0,7.0,3.0,-1.173,-1.293,-1.584,-77.0,-77.0,-77.0,5510.028,3.0,44.0,6.0
