,year,country,5G,Cable Terrestrial,Commercial partnership,Data centre,Facial recognition,Investment or joint venture,Investor,Manufacturing facility,MoU-agreement,Overseas Office,R&D lab,Research partnership,Satellite calibration centre,Smart cities,Subsidiary,Surveillance equipment,Telecommunications or ICT,Training,Artificial Intelligence,Biotech,Chinese state loan,Surveillance,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2smgovfilcap,v2smgovfilcap_ord,v2smgovfilprc,v2smgovfilprc_ord,v2smgovshutcap,v2smgovshutcap_ord,v2smgovshut,v2smgovsm_ord,v2smgovsmmon,v2smgovsmmon_ord,v2smgovsmcenprc,v2smgovsmcenprc_ord,v2smarrest,v2smarrest_ord,e_fh_cl,e_fh_pr,e_fh_rol,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_autoc,e_democ,e_p_polity,e_gdp,force_count,peaceful_count,intervention_count
331,2012,KE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.411,0.346,0.291,0.269,2.0,0.855,3.0,0.015,3.0,1.355,4.0,-0.13,2.0,0.772,4.0,0.634,2.0,4.0,4.0,6.0,-1.099,-0.54,-1.323,0.0,8.0,8.0,12290.824,0.0,57.0,9.0
332,2012,KG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.327,0.298,-1.484,1.0,-0.096,3.0,0.659,4.0,1.369,4.0,1.314,3.0,1.187,4.0,1.409,3.0,5.0,5.0,4.0,-1.151,-0.646,-0.911,0.0,7.0,7.0,2372.452,0.0,0.0,0.0
333,2012,KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.116,0.178,-2.28,0.0,-0.855,2.0,-2.383,0.0,0.959,4.0,0.508,3.0,-0.79,3.0,-0.427,1.0,5.0,6.0,2.0,-1.081,-0.817,-0.104,1.0,3.0,2.0,4684.721,6.0,137.0,20.0
334,2012,KR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762,0.668,0.514,1.49,3.0,0.646,3.0,0.077,3.0,1.957,4.0,0.632,3.0,0.673,4.0,0.552,2.0,2.0,1.0,13.0,0.496,1.08,0.267,0.0,8.0,8.0,185392.598,0.0,0.0,0.0
335,2012,KW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.292,0.109,1.739,3.0,-0.403,2.0,1.327,4.0,0.863,4.0,-0.785,2.0,-1.238,2.0,-0.343,1.0,5.0,5.0,7.0,-0.197,-0.074,0.204,7.0,0.0,-7.0,21382.749,0.0,0.0,0.0
336,2012,KZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.116,0.079,1.251,3.0,-1.564,1.0,1.312,4.0,-1.412,2.0,-1.323,1.0,-1.376,2.0,-0.952,1.0,5.0,6.0,4.0,-0.921,-0.525,-0.408,6.0,0.0,-6.0,37047.342,0.0,0.0,0.0
337,2012,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.079,0.102,-1.965,1.0,-0.788,2.0,-1.442,1.0,0.588,4.0,-0.777,2.0,-0.956,3.0,-1.443,1.0,6.0,7.0,2.0,-1.025,-0.839,0.034,7.0,0.0,-7.0,3043.272,0.0,1.0,0.0
338,2012,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.291,0.27,1.284,3.0,0.304,3.0,0.746,4.0,-0.259,3.0,-0.704,2.0,-0.65,3.0,-0.384,1.0,4.0,5.0,5.0,-0.866,-0.232,-1.665,0.0,6.0,6.0,7310.389,0.0,0.0,0.0
339,2012,LK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.246,0.222,1.461,3.0,-1.217,2.0,0.004,3.0,1.173,4.0,0.178,3.0,-0.335,3.0,-0.816,1.0,4.0,5.0,5.0,-0.242,-0.197,-0.717,1.0,4.0,3.0,22247.401,1.0,140.0,11.0
340,2012,LS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589,0.461,0.347,-1.255,1.0,1.279,4.0,-1.221,1.0,1.176,4.0,0.267,3.0,0.109,3.0,0.357,2.0,3.0,2.0,11.0,0.127,-0.425,0.274,1.0,9.0,8.0,600.808,0.0,2.0,0.0
341,2012,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813,0.725,0.641,-0.629,1.0,2.123,4.0,-2.169,0.0,1.811,4.0,1.603,4.0,2.052,4.0,2.481,3.0,2.0,2.0,12.0,0.238,0.832,0.454,0.0,8.0,8.0,4616.266,0.0,0.0,0.0
342,2012,LY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.209,0.222,-1.803,1.0,1.403,4.0,-1.385,1.0,-0.042,4.0,0.638,3.0,0.219,3.0,0.45,2.0,5.0,4.0,1.0,-1.315,-1.274,-1.587,-77.0,-77.0,-77.0,9330.901,1.0,56.0,2.0
343,2012,MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.238,0.17,1.012,3.0,-0.686,2.0,0.22,3.0,-0.833,3.0,-0.831,2.0,-0.603,3.0,-0.913,1.0,4.0,5.0,6.0,-0.493,-0.133,-0.47,5.0,1.0,-4.0,25293.329,5.0,38.0,15.0
344,2012,MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.106,0.148,-2.439,0.0,1.651,4.0,-1.199,1.0,0.534,4.0,0.469,3.0,1.024,4.0,0.403,2.0,4.0,6.0,5.0,-0.67,-1.118,-0.536,1.0,4.0,3.0,3033.903,0.0,23.0,3.0
345,2012,ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356,0.234,0.263,0.252,2.0,0.131,3.0,1.462,4.0,-0.663,3.0,-0.045,2.0,-0.047,3.0,-0.672,1.0,5.0,7.0,3.0,-0.831,-0.984,-2.034,-77.0,-77.0,-77.0,3165.61,5.0,39.0,6.0
346,2012,MM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.135,0.16,1.56,3.0,-0.6,2.0,1.021,4.0,-0.814,3.0,-0.383,2.0,-0.689,3.0,-1.572,1.0,5.0,6.0,1.0,-1.07,-1.48,-0.944,3.0,0.0,-3.0,22372.436,2.0,235.0,23.0
347,2012,MN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.569,0.399,0.631,2.0,0.998,3.0,-1.84,0.0,1.625,4.0,1.054,3.0,0.33,3.0,1.412,3.0,2.0,1.0,12.0,-0.535,-0.633,0.471,0.0,10.0,10.0,2313.082,0.0,0.0,0.0
348,2012,MR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.225,0.18,0.266,2.0,0.791,3.0,1.974,4.0,1.159,4.0,-1.537,1.0,-0.226,3.0,-1.308,1.0,5.0,6.0,4.0,-0.794,-0.913,-1.134,2.0,0.0,-2.0,1334.612,1.0,47.0,14.0
350,2012,MU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772,0.679,0.503,-0.027,2.0,1.411,4.0,-0.28,3.0,1.697,4.0,-0.722,2.0,0.185,3.0,0.238,2.0,2.0,1.0,13.0,0.252,1.047,0.971,0.0,10.0,10.0,2683.115,0.0,0.0,0.0
352,2012,MW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.427,0.267,-1.07,1.0,1.28,4.0,-0.753,2.0,0.715,4.0,-0.426,2.0,0.772,4.0,0.718,2.0,4.0,3.0,9.0,-0.477,-0.513,-0.003,0.0,6.0,6.0,2030.048,0.0,3.0,1.0
353,2012,MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645,0.449,0.405,0.108,2.0,1.783,4.0,-1.202,1.0,1.32,4.0,1.023,3.0,0.865,4.0,1.731,3.0,3.0,3.0,6.0,-0.485,0.301,-0.662,0.0,8.0,8.0,192272.433,0.0,0.0,0.0
354,2012,MY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.211,0.224,0.975,3.0,-0.02,3.0,0.874,4.0,0.597,4.0,-1.061,2.0,-0.18,3.0,-0.939,1.0,4.0,4.0,5.0,0.213,0.919,-0.005,0.0,6.0,6.0,65073.389,0.0,0.0,0.0
355,2012,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629,0.48,0.453,0.489,2.0,-1.157,2.0,0.951,4.0,-0.587,3.0,-0.122,2.0,-0.549,3.0,-0.881,1.0,4.0,3.0,5.0,-0.648,-0.699,-1.148,1.0,7.0,6.0,1961.566,0.0,0.0,0.0
356,2012,NG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514,0.366,0.344,-0.356,2.0,-0.27,3.0,-1.044,1.0,1.015,4.0,-0.047,2.0,0.941,4.0,-0.778,1.0,4.0,4.0,4.0,-1.176,-1.003,-2.042,0.0,4.0,4.0,76144.245,8.0,137.0,15.0
357,2012,NI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.159,0.225,0.586,2.0,-1.269,2.0,-1.222,1.0,-0.696,3.0,0.791,3.0,-0.793,3.0,0.679,2.0,4.0,5.0,7.0,-0.782,-0.896,-0.349,0.0,9.0,9.0,2696.874,0.0,0.0,0.0
358,2012,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.869,0.823,0.611,-0.037,2.0,1.906,4.0,-1.265,1.0,1.357,4.0,1.813,4.0,2.151,4.0,2.059,3.0,1.0,1.0,15.0,2.091,1.839,1.187,0.0,10.0,10.0,80147.927,0.0,0.0,0.0
359,2012,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902,0.87,0.652,-0.519,1.0,2.383,4.0,-0.893,2.0,1.576,4.0,2.073,4.0,2.016,4.0,2.629,3.0,1.0,1.0,16.0,2.248,1.9,1.327,0.0,10.0,10.0,31421.414,0.0,0.0,0.0
360,2012,NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.31,0.197,-0.318,2.0,-0.657,2.0,-0.339,3.0,-0.289,3.0,-0.198,2.0,-1.159,2.0,-0.755,1.0,4.0,4.0,5.0,-0.815,-0.989,-1.381,0.0,6.0,6.0,6044.771,2.0,265.0,24.0
361,2012,NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.848,0.701,0.704,2.0,2.363,4.0,0.7,4.0,1.74,4.0,2.064,4.0,1.516,4.0,2.483,3.0,1.0,1.0,15.0,2.308,1.792,1.361,0.0,10.0,10.0,15660.672,0.0,0.0,0.0
362,2012,OM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.138,0.124,1.601,3.0,-2.094,1.0,1.236,4.0,-0.576,3.0,-1.988,1.0,-1.414,2.0,-1.823,0.0,5.0,6.0,4.0,0.175,0.26,0.462,8.0,0.0,-8.0,10971.656,0.0,0.0,0.0
363,2012,PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744,0.561,0.477,0.369,2.0,1.378,4.0,-0.738,2.0,1.048,4.0,1.473,3.0,0.979,4.0,2.002,3.0,2.0,1.0,9.0,-0.395,0.326,-0.179,0.0,9.0,9.0,7206.47,0.0,0.0,0.0
364,2012,PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.681,0.594,-0.595,1.0,1.865,4.0,-0.882,2.0,1.401,4.0,2.075,4.0,1.511,4.0,2.168,3.0,3.0,2.0,8.0,-0.404,-0.188,-0.907,0.0,9.0,9.0,30502.252,0.0,0.0,0.0
365,2012,PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.338,0.265,-1.564,1.0,0.913,3.0,-1.489,1.0,1.009,4.0,0.623,3.0,0.874,4.0,0.981,2.0,3.0,4.0,7.0,-0.938,-0.741,-0.59,0.0,5.0,5.0,2651.389,0.0,0.0,0.0
366,2012,PH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558,0.439,0.381,-1.238,1.0,0.577,3.0,-0.981,2.0,0.199,4.0,-0.917,2.0,0.711,4.0,0.265,2.0,3.0,3.0,5.0,-0.574,0.212,-1.188,0.0,8.0,8.0,59289.99,0.0,0.0,0.0
367,2012,PK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.46,0.297,0.305,-0.316,2.0,-0.218,3.0,1.211,4.0,-0.878,4.0,-0.469,2.0,-0.511,3.0,0.867,2.0,5.0,4.0,4.0,-1.069,-0.778,-2.677,0.0,6.0,6.0,80588.913,11.0,4398.0,58.0
368,2012,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.827,0.64,-1.172,1.0,2.275,4.0,-1.149,1.0,1.835,4.0,2.391,4.0,2.047,4.0,1.982,3.0,1.0,1.0,13.0,0.66,0.657,1.049,0.0,10.0,10.0,87441.511,0.0,0.0,0.0
369,2012,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896,0.843,0.656,-0.643,1.0,1.67,4.0,-0.881,2.0,1.928,4.0,2.054,4.0,2.33,4.0,2.508,3.0,1.0,1.0,15.0,0.955,1.002,0.775,0.0,10.0,10.0,28165.304,0.0,0.0,0.0
370,2012,QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.101,0.031,2.19,3.0,-1.793,1.0,1.844,4.0,-0.608,3.0,-2.63,0.0,-1.612,2.0,-1.966,0.0,5.0,6.0,4.0,1.053,0.931,1.224,10.0,0.0,-10.0,23055.485,0.0,0.0,0.0
371,2012,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0.537,0.472,-0.884,1.0,1.738,4.0,-1.425,1.0,1.013,4.0,1.55,4.0,1.696,4.0,2.477,3.0,2.0,2.0,12.0,-0.381,-0.172,0.082,0.0,9.0,9.0,31356.977,0.0,0.0,0.0
372,2012,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598,0.49,0.398,-0.995,1.0,0.985,3.0,-1.683,1.0,1.906,4.0,0.857,3.0,0.919,4.0,1.126,2.0,2.0,2.0,10.0,-0.357,-0.18,-0.217,1.0,9.0,8.0,9209.497,0.0,0.0,0.0
373,2012,RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.124,0.174,0.92,3.0,-0.211,3.0,-0.047,3.0,0.215,4.0,-1.148,1.0,-0.712,3.0,-0.883,1.0,5.0,6.0,3.0,-1.052,-0.534,-0.818,1.0,5.0,4.0,376061.459,0.0,0.0,0.0
374,2012,RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.139,0.199,1.45,3.0,-1.511,1.0,0.317,3.0,1.07,3.0,-1.792,1.0,-1.419,2.0,-1.303,1.0,6.0,6.0,3.0,0.56,-0.092,-0.231,4.0,0.0,-4.0,1985.13,0.0,0.0,0.0
375,2012,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.048,0.021,1.301,3.0,-2.054,1.0,0.734,4.0,-1.791,2.0,-2.452,1.0,-1.158,2.0,-1.977,0.0,7.0,7.0,2.0,-0.046,0.031,-0.481,10.0,0.0,-10.0,116079.863,0.0,0.0,0.0
376,2012,SB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557,0.432,0.316,-3.057,0.0,1.845,4.0,-2.096,0.0,1.16,4.0,2.009,4.0,1.246,4.0,1.672,3.0,3.0,4.0,8.0,-0.357,-0.814,0.187,1.0,9.0,8.0,139.186,0.0,0.0,0.0
377,2012,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.074,0.112,0.477,2.0,-2.942,0.0,-0.322,3.0,-1.969,1.0,-1.782,1.0,-1.441,2.0,-1.099,1.0,7.0,7.0,0.0,-1.503,-1.43,-2.261,4.0,0.0,-4.0,14706.509,4.0,39.0,63.0
378,2012,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922,0.894,0.679,-0.604,1.0,2.161,4.0,-1.24,1.0,1.868,4.0,2.926,4.0,2.116,4.0,1.912,3.0,1.0,1.0,16.0,2.277,1.911,1.171,0.0,10.0,10.0,44666.959,0.0,0.0,0.0
379,2012,SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.336,0.113,1.582,3.0,-0.55,2.0,2.254,4.0,1.387,4.0,-1.371,1.0,-0.45,3.0,-1.37,1.0,4.0,4.0,7.0,2.116,2.156,1.368,4.0,2.0,-2.0,35526.948,0.0,0.0,0.0
380,2012,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.774,0.731,-1.16,1.0,2.295,4.0,-2.305,0.0,1.821,4.0,1.878,4.0,2.029,4.0,2.536,3.0,1.0,1.0,14.0,0.832,1.025,0.935,0.0,10.0,10.0,6441.714,0.0,0.0,0.0
381,2012,SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508,0.319,0.341,-1.126,1.0,0.93,3.0,1.44,4.0,0.369,4.0,1.534,4.0,1.3,4.0,0.01,2.0,3.0,2.0,9.0,-0.957,-1.227,-0.28,1.0,8.0,7.0,1070.738,1.0,3.0,0.0
382,2012,SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.533,0.363,-0.762,1.0,0.972,3.0,-0.073,3.0,1.029,4.0,-0.169,2.0,1.581,4.0,-0.505,1.0,3.0,2.0,10.0,-0.258,-0.478,-0.108,0.0,7.0,7.0,3809.267,2.0,15.0,4.0
383,2012,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623,0.437,0.392,-1.349,1.0,2.13,4.0,-2.886,0.0,1.858,4.0,1.991,4.0,1.639,4.0,2.271,3.0,3.0,2.0,9.0,-0.413,-0.14,0.235,0.0,8.0,8.0,3261.686,0.0,0.0,0.0
384,2012,TD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.099,0.136,-0.164,2.0,-1.318,2.0,1.832,4.0,-1.622,2.0,-0.631,2.0,-0.773,3.0,-2.32,0.0,6.0,7.0,2.0,-1.331,-1.485,-1.044,3.0,1.0,-2.0,2593.557,0.0,0.0,1.0
385,2012,TG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.252,0.19,1.212,3.0,-0.832,2.0,1.979,4.0,-1.079,2.0,-1.35,1.0,1.239,4.0,0.533,2.0,4.0,5.0,6.0,-1.008,-1.304,-0.386,3.0,1.0,-2.0,998.233,0.0,7.0,2.0
386,2012,TH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.412,0.244,0.792,2.0,-0.43,2.0,0.387,4.0,0.692,4.0,-1.104,1.0,-0.597,3.0,-0.183,2.0,4.0,4.0,6.0,-0.397,0.14,-1.217,0.0,7.0,7.0,103451.16,1.0,113.0,1.0
387,2012,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.066,0.072,0.891,3.0,-1.718,1.0,0.432,4.0,-1.68,2.0,-1.358,1.0,-1.755,2.0,-1.617,1.0,6.0,6.0,3.0,-1.28,-0.935,-1.241,4.0,1.0,-3.0,2490.857,0.0,0.0,0.0
388,2012,TL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651,0.499,0.355,-1.383,1.0,2.131,4.0,-1.362,1.0,1.353,4.0,0.109,3.0,1.222,4.0,1.372,3.0,4.0,3.0,6.0,-0.744,-1.196,-0.285,1.0,9.0,8.0,386.174,0.0,0.0,0.0
389,2012,TM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.145,0.024,0.039,1.606,3.0,-2.559,0.0,1.454,4.0,-2.212,1.0,-2.597,1.0,-2.74,1.0,-2.981,0.0,7.0,7.0,1.0,-1.315,-1.119,0.428,9.0,0.0,-9.0,9340.313,0.0,0.0,0.0
390,2012,TN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769,0.645,0.449,1.049,3.0,1.023,3.0,-0.544,2.0,0.99,4.0,1.917,4.0,1.388,4.0,1.306,3.0,4.0,3.0,6.0,-0.034,-0.044,-0.721,-88.0,-88.0,-88.0,12214.471,0.0,178.0,10.0
391,2012,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.519,0.363,0.352,1.085,3.0,-1.635,1.0,0.936,4.0,-0.459,2.0,-0.719,2.0,-0.955,3.0,-0.122,2.0,4.0,3.0,7.0,0.161,0.433,-1.221,0.0,9.0,9.0,151907.544,0.0,0.0,0.0
392,2012,TW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811,0.683,0.629,-0.395,2.0,0.861,3.0,-1.09,1.0,1.047,4.0,0.629,3.0,0.702,4.0,1.149,2.0,2.0,1.0,14.0,0.715,1.147,0.891,0.0,10.0,10.0,109800.166,0.0,0.0,0.0
