country_name,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2smgovfilcap,v2smgovfilcap_ord,v2smgovfilprc,v2smgovfilprc_ord,v2smgovshutcap,v2smgovshutcap_ord,v2smgovshut,v2smgovsm_ord,v2smgovsmmon,v2smgovsmmon_ord,v2smgovsmcenprc,v2smgovsmcenprc_ord,v2smarrest,v2smarrest_ord,e_fh_cl,e_fh_pr,e_fh_rol,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_autoc,e_democ,e_p_polity,e_gdp,e_pop
Hungary,2021,0.455,0.35,0.305,0.452,2,1.145,4,-0.019,3,1.838,4,0.506,3,1.099,4,1.641,3,3,3,10,0.036,0.635,0.861,0,10,10,27261.533,1055.913
Iceland,2021,0.832,0.743,0.612,1.866,3,1.969,4,1.997,4,1.531,4,2.484,4,1.748,4,2.285,3,1,1,15,1.791,1.639,1.373,,,,2020.323,37.06
India,2021,0.42,0.332,0.265,1.642,3,-1.428,1,1.612,4,-1.972,2,-0.94,2,-0.809,3,-0.932,1,4,2,8,-0.295,0.282,-0.615,0,9,9,966226.321,142368.518
Indonesia,2021,0.568,0.413,0.372,1.843,3,0.016,3,-0.279,3,0.238,4,-0.884,2,0.288,3,0.734,2,4,2,5,-0.428,0.379,-0.506,0,9,9,296631.287,28427.625
Iran,2021,0.181,0.116,0.051,2.311,3,-2.393,1,0.762,4,-1.381,1,-1.858,1,-1.725,2,-1.254,1,6,7,3,-1.096,-0.858,-1.622,7,0,-7,84938.029,8718.815
Iraq,2021,0.365,0.218,0.202,0.626,2,0.257,3,0.026,3,-0.185,3,-0.092,2,0.047,3,0.039,2,6,5,1,-1.251,-1.292,-2.397,0,6,6,41067.232,4198.518
Ireland,2021,0.895,0.832,0.638,-0.71,1,2.391,4,-1.622,1,1.758,4,1.207,3,2.083,4,1.199,2,1,1,14,1.649,1.504,0.857,0,10,10,40070.106,531.242
Israel,2021,0.735,0.651,0.486,-0.655,1,0.303,3,-0.417,2,0.831,4,-1.052,2,0.4,4,1.335,3,3,2,11,0.856,1.292,-1.061,1,7,6,35955.811,921.341
Italy,2021,0.849,0.768,0.673,0.687,2,1.569,4,-0.981,2,1.038,4,2.311,4,1.976,4,2.584,3,1,1,13,0.543,0.361,0.578,0,10,10,218478.765,6471.976
Ivory Coast,2021,0.436,0.239,0.311,1.398,3,0.378,3,1.527,4,1.813,4,-1.672,1,0.228,3,-0.58,1,4,4,6,-0.372,-0.502,-0.953,1,5,4,10811.416,2792.899
Jamaica,2021,0.8,0.693,0.525,-1.852,1,2.148,4,-2.587,0,1.643,4,0.094,3,1.854,4,0.779,2,2,2,9,-0.029,0.414,0.223,0,9,9,2330.973,308.527
Japan,2021,0.838,0.739,0.537,0.859,2,1.884,4,-0.39,2,1.813,4,1.624,4,1.711,4,2.243,3,1,1,15,1.565,1.403,1.027,0,10,10,524374.91,13433.716
Jordan,2021,0.259,0.255,0.119,2.174,3,-0.911,2,2.068,4,0.308,4,-1.024,2,-0.942,3,0.067,2,5,6,7,0.05,0.227,-0.276,5,2,-3,7641.738,1049.085
Kazakhstan,2021,0.257,0.127,0.094,1.913,3,-1.593,1,2.119,4,-1.105,2,-0.839,2,-1.212,2,-0.863,1,5,7,4,-0.237,0.064,-0.254,6,0,-6,46904.567,1969.649
Kenya,2021,0.483,0.403,0.325,1.221,3,0.855,3,0.386,4,1.355,4,-0.535,2,0.302,3,0.325,2,4,4,5,-0.713,-0.33,-1.09,0,9,9,18715.879,5533.024
Kosovo,2021,0.612,0.445,0.355,-0.82,1,1.346,4,-1.306,1,1.343,4,-0.655,2,0.839,4,1.558,3,4,3,,,,,0,8,8,1481.11,192.058
Kuwait,2021,0.317,0.29,0.092,1.665,3,-0.4,2,2.141,4,0.994,4,-0.804,2,-0.982,3,-0.343,1,5,5,7,-0.034,-0.038,0.299,7,0,-7,19960.897,443.72
Kyrgyzstan,2021,0.413,0.257,0.224,-0.717,1,0.359,3,0.715,4,1.417,4,0.358,3,0.54,4,-0.349,1,5,7,2,-1.125,-0.727,-0.426,0,8,8,3321.461,664.635
Laos,2021,0.135,0.099,0.125,-0.744,1,-0.972,2,-1.019,2,0.925,4,-1.458,1,-1.072,2,-2.028,0,6,7,2,-1.04,-0.618,0.726,7,0,-7,4745.302,762.111
Latvia,2021,0.824,0.735,0.587,-0.47,1,2.123,4,-2.072,0,1.811,4,1.859,4,2.052,4,2.481,3,2,1,12,0.747,0.873,0.688,0,8,8,5683.001,206.207
Lebanon,2021,0.437,0.265,0.25,0.822,2,0.259,3,0.461,4,-0.611,3,-0.833,2,-0.906,3,-1.107,1,4,5,5,-1.23,-1.287,-1.493,0,6,6,7616.031,741.688
Lesotho,2021,0.625,0.505,0.392,-1.255,1,0.655,3,-0.888,2,1.176,4,-0.164,2,0.109,3,0.477,2,3,3,8,-0.315,-0.914,-0.22,1,9,8,675.445,220.227
Liberia,2021,0.634,0.461,0.35,0.221,2,0.716,3,1.383,4,0.313,4,0.879,3,0.482,4,-0.364,1,4,3,6,-0.916,-1.377,-0.242,1,8,7,609.192,512.983
Libya,2021,0.271,0.144,0.178,-1.771,1,1.187,4,-1.012,2,-0.054,4,0.638,3,0.219,3,0.237,2,6,7,0,-1.567,-1.723,-2.367,,,,8480.714,729.498
Lithuania,2021,0.797,0.738,0.587,-0.319,2,2.51,4,-1.961,0,1.773,4,2.004,4,2.036,4,2.081,3,2,1,12,0.851,1.057,0.815,0,10,10,9529.66,300.037
Luxembourg,2021,0.881,0.794,0.627,0.968,3,2.439,4,0.663,4,1.794,4,1.644,4,1.911,4,1.688,3,1,1,15,1.872,1.719,1.206,0,10,10,6025.423,65.26
Madagascar,2021,0.497,0.26,0.295,-1.004,1,1.138,4,0.277,3,0.835,4,-0.264,2,0.859,4,-0.255,2,4,3,7,-0.933,-1,-0.636,0,6,6,3686.51,2822.455
Malawi,2021,0.619,0.536,0.412,-0.633,1,1.455,4,-0.127,3,1.017,4,-0.259,2,0.73,4,0.598,2,3,3,9,-0.3,-0.769,-0.113,0,6,6,2563.303,1961.782
Malaysia,2021,0.414,0.29,0.255,0.975,3,0.5,3,1.029,4,1.306,4,-0.264,2,0.097,3,-0.297,1,4,4,7,0.171,0.992,0.139,0,7,7,88971.514,3389.703
Maldives,2021,0.597,0.441,0.335,1.419,3,-0.147,3,0.82,4,0.438,4,-0.278,2,0.352,3,0.093,2,5,4,6,-0.371,0.386,0.503,,,,822.228,55.872
